frame,display_render_ms,display_sync_ms,display_total_ms,compute_ms
1,10.857968,0.014067,10.872035,822.126964
2,22.089539,0.013886,22.103425,829.029239
3,12.128515,0.013736,12.142251,820.563128
4,10.302684,0.013080,10.315764,810.085761
5,10.616817,0.013209,10.630026,845.840789
6,9.566397,0.013489,9.579886,812.407577
7,9.742859,0.013003,9.755862,834.260954
8,9.492809,0.013731,9.506540,853.253928
9,10.035411,0.016540,10.051951,857.162502
10,9.746245,0.016197,9.762442,828.740581
11,9.844431,0.013332,9.857763,833.926898
12,10.049124,0.014078,10.063202,836.502506
13,9.736976,0.014013,9.750989,828.619536
14,10.789275,0.013630,10.802905,831.690685
15,10.429174,0.013574,10.442748,820.949707
16,10.066848,0.014518,10.081366,820.217267
17,10.092629,0.019401,10.112030,829.676335
18,10.282272,0.013156,10.295428,830.189367
19,10.007323,0.013297,10.020620,861.508875
20,10.439921,0.013612,10.453533,830.753788
21,9.836256,0.013926,9.850182,845.827413
22,9.468237,0.014560,9.482797,831.661691
23,9.684774,0.012939,9.697713,853.179556
24,9.487663,0.013826,9.501489,830.418740
25,9.619227,0.012913,9.632140,812.983922
26,9.434825,0.012251,9.447076,817.501244
27,10.542174,0.015883,10.558057,856.757641
28,9.850420,0.015283,9.865703,879.737346
29,10.718649,0.016072,10.734721,843.404257
30,9.871860,0.013872,9.885732,826.630536
